http://id.who.int/icd/entity/922767790	http://id.who.int/icd/release/11/mms/922767790	XE214		"- - - Exposure to object, not elsewhere classified"	category	1	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F922767790"",""browser"")"	False	False					
http://id.who.int/icd/entity/959471870	http://id.who.int/icd/release/11/mms/959471870	XE2YW		"- - - - Exposure to being struck by projectile from firearm"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F959471870"",""browser"")"	True	False					
http://id.who.int/icd/entity/2111393365	http://id.who.int/icd/release/11/mms/2111393365	XE4UV		"- - - - Exposure to being struck by moving object"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2111393365"",""browser"")"	True	False					
http://id.who.int/icd/entity/852592320	http://id.who.int/icd/release/11/mms/852592320	XE6LQ		"- - - - Exposure to being struck against stationary object"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F852592320"",""browser"")"	True	False					
http://id.who.int/icd/entity/663257338	http://id.who.int/icd/release/11/mms/663257338	XE20S		"- - - - Exposure to being cut or pierced by sharp object"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F663257338"",""browser"")"	True	False					
http://id.who.int/icd/entity/1016754338	http://id.who.int/icd/release/11/mms/1016754338	XE59C		"- - - - Exposure to being struck by blunt object"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1016754338"",""browser"")"	True	False					
http://id.who.int/icd/entity/417240228	http://id.who.int/icd/release/11/mms/417240228	XE4FE		"- - - - Exposure to being caught, crushed, jammed or pinched between objects"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F417240228"",""browser"")"	True	False					
http://id.who.int/icd/entity/743500056	http://id.who.int/icd/release/11/mms/743500056	XE64Q		"- - - Exposure to immersion, submersion or falling into water"	category	1	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F743500056"",""browser"")"	False	False					
http://id.who.int/icd/entity/322925214	http://id.who.int/icd/release/11/mms/322925214	XE72F		"- - - - Exposure to drowning or submersion, while in body of water"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F322925214"",""browser"")"	True	False					
http://id.who.int/icd/entity/1764785791	http://id.who.int/icd/release/11/mms/1764785791	XE1AF		"- - - - Exposure to drowning or submersion, following fall into body of water"	category	2	False	X	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1764785791"",""browser"")"	True	False					
