http://id.who.int/icd/entity/2026152580	http://id.who.int/icd/release/11/mms/2026152580	PA0B		"- - - - Unintentional land transport traffic event injuring a user of a special vehicle mainly used on industrial premises"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2026152580"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
http://id.who.int/icd/entity/1851915398	http://id.who.int/icd/release/11/mms/1851915398	PA0C		"- - - - Unintentional land transport traffic event injuring a user of a special construction vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1851915398"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
http://id.who.int/icd/entity/449621115	http://id.who.int/icd/release/11/mms/449621115	PA0D		"- - - - Unintentional land transport traffic event injuring a user of an all-terrain vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F449621115"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
http://id.who.int/icd/entity/1861381370	http://id.who.int/icd/release/11/mms/1861381370	PA0E		"- - - - Unintentional land transport traffic event injuring a rider of an animal"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1861381370"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
http://id.who.int/icd/entity/2117662028	http://id.who.int/icd/release/11/mms/2117662028	PA0F		"- - - - Unintentional land transport traffic event injuring an occupant of an animal-drawn vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2117662028"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
	http://id.who.int/icd/release/11/mms/1710329660/other	PA0Y		"- - - - Unintentional land transport traffic event injuring a user of other specified land transport"	category	1	True	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1710329660%2Fmms%2Fother"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
	http://id.who.int/icd/release/11/mms/1710329660/unspecified	PA0Z		"- - - - Unintentional land transport traffic event injuring a user of unspecified land transport"	category	1	True	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1710329660%2Fmms%2Funspecified"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA0		
http://id.who.int/icd/entity/714231201	http://id.who.int/icd/release/11/mms/714231201		BlockL3-PA1	"- - - Unintentional land transport off-road nontraffic injury event"	block	3	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F714231201"",""browser"")"	False		BlockL1-PA0	BlockL2-PA0			
http://id.who.int/icd/entity/1595005935	http://id.who.int/icd/release/11/mms/1595005935	PA10		"- - - - Unintentional land transport nontraffic event injuring a pedestrian"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1595005935"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/2133070765	http://id.who.int/icd/release/11/mms/2133070765	PA11		"- - - - Unintentional land transport nontraffic event injuring the user of a pedestrian conveyance"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2133070765"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/1877903899	http://id.who.int/icd/release/11/mms/1877903899	PA12		"- - - - Unintentional land transport nontraffic event injuring a pedal cyclist"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1877903899"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/271602070	http://id.who.int/icd/release/11/mms/271602070	PA13		"- - - - Unintentional land transport nontraffic event injuring a motor cyclist"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F271602070"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/2114216989	http://id.who.int/icd/release/11/mms/2114216989	PA14		"- - - - Unintentional land transport nontraffic event injuring a car occupant"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2114216989"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/1499360506	http://id.who.int/icd/release/11/mms/1499360506	PA15		"- - - - Unintentional land transport nontraffic event injuring an occupant of a bus or coach"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1499360506"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/1234498892	http://id.who.int/icd/release/11/mms/1234498892	PA16		"- - - - Unintentional land transport nontraffic event injuring an occupant of a light goods vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1234498892"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/380853503	http://id.who.int/icd/release/11/mms/380853503	PA17		"- - - - Unintentional land transport nontraffic event injuring an occupant of a heavy goods vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F380853503"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/665763525	http://id.who.int/icd/release/11/mms/665763525	PA18		"- - - - Unintentional land transport nontraffic event injuring an occupant of a streetcar or tram"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F665763525"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
http://id.who.int/icd/entity/1819339362	http://id.who.int/icd/release/11/mms/1819339362	PA19		"- - - - Unintentional land transport nontraffic event injuring an occupant of a low powered passenger vehicle"	category	1	False	23	"=hyperlink(""https://icd.who.int/browse11/l-m/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1819339362"",""browser"")"	True	True	BlockL1-PA0	BlockL2-PA0	BlockL3-PA1		
